unix_ms,event_type,title,description,x,y,z
1740756695516,Simulation,Simulation Start,,0,0,0
1740756695552,Simulation,Trial 0: Calibration,Instructions,0,0,0
1740756695552,Simulation,Trial 0: Calibration,Start,0,0,0
1740756695553,Anchor,Left,Center,720,792,50
1740756695553,Anchor,Left,Top Left,434.0125,934.9938,50
1740756695553,Anchor,Left,Top Right,1005.987,934.9938,50
1740756695553,Anchor,Left,Bottom Left,434.0125,649.0063,50
1740756695553,Anchor,Right,Center,720,792,50
1740756695553,Anchor,Right,Top Left,434.0125,934.9938,50
1740756695553,Anchor,Right,Top Right,1005.987,934.9938,50
1740756695553,Anchor,Right,Bottom Left,434.0125,649.0063,50
1740756695553,Player,position,,0,0,0
1740756695553,Player,orientation,,0,0,0
1740756695553,Eye Tracking,Left,Direction,0,0,0
1740756695553,Eye Tracking,Right,Direction,0,0,0
1740756695553,Eye Tracking,Center,Direction,0,0,0
1740756695553,Eye Tracking,Left,Screen Position,0,0,0
1740756695553,Eye Tracking,Right,Screen Position,0,0,0
1740756695722,Player,position,,-0.008294683,1.226596,0.01700498
1740756695722,Player,orientation,,353.4917,359.0987,358.2754
1740756695722,Eye Tracking,Left,Direction,0.02346273,-0.2330608,0.9721791
1740756695722,Eye Tracking,Right,Direction,0.02346273,-0.2330608,0.9721791
1740756695722,Eye Tracking,Center,Direction,0.02345821,-0.2329322,0.97221
1740756695722,Eye Tracking,Left,Screen Position,739.5889,620.7003,9.788206
1740756695722,Eye Tracking,Right,Screen Position,734.9137,620.7003,9.788206
1740756695729,Player,position,,-0.008230828,1.22661,0.01698292
1740756695729,Player,orientation,,353.4805,359.1255,358.2581
1740756695729,Eye Tracking,Left,Direction,0.02306993,-0.2333466,0.9721199
1740756695729,Eye Tracking,Right,Direction,0.02306993,-0.2333466,0.9721199
1740756695729,Eye Tracking,Center,Direction,0.02306692,-0.2332611,0.9721406
1740756695729,Eye Tracking,Left,Screen Position,739.3051,620.4462,9.776992
1740756695729,Eye Tracking,Right,Screen Position,734.6245,620.4462,9.776991
1740756695753,Player,position,,-0.008095631,1.226671,0.01695307
1740756695753,Player,orientation,,353.4548,359.1839,358.2314
1740756695753,Eye Tracking,Left,Direction,0.02217113,-0.2338998,0.9720079
1740756695753,Eye Tracking,Right,Direction,0.02217113,-0.2338998,0.9720079
1740756695753,Eye Tracking,Center,Direction,0.02216793,-0.2338108,0.9720294
1740756695753,Eye Tracking,Left,Screen Position,738.6476,620.0222,9.768912
1740756695753,Eye Tracking,Right,Screen Position,733.9633,620.0222,9.768912
