unix_ms,rel_timestamp,frame,event,side,screen_pos_x,screen_pos_y,screen_pos_z,target_name
1741901470139,0,,Activation,,,,,
1741901470139,0,279,,Left,0,0,0,
1741901470139,0,279,,Right,0,0,0,
1741901470139,0,279,,Center,0,0,0,
1741901470457,0.01999998,281,,Left,710.0732,857.7388,49.76426,
1741901470458,0.01999998,281,,Right,709.1871,857.7388,49.76426,
1741901470458,0.01999998,281,,Center,709.6301,857.7388,49.76426,
1741901470507,0.08825278,282,,Left,714.7461,755.8441,49.91601,
1741901470507,0.08825278,282,,Right,713.8626,755.8441,49.91601,
1741901470507,0.08825278,282,,Center,714.3044,755.8441,49.916,
1741901470608,0.1978071,283,,Left,717.4911,753.0995,49.90956,
1741901470608,0.1978071,283,,Right,716.6075,753.0995,49.90955,
1741901470608,0.1978071,283,,Center,717.0494,753.0995,49.90956,
1741901470656,0.2241032,284,,Left,724.0117,757.0478,49.92553,
1741901470656,0.2241032,284,,Right,723.1284,757.0478,49.92553,
1741901470656,0.2241032,284,,Center,723.5701,757.0478,49.92553,
1741901470711,0.2716291,285,,Left,721.8899,760.1997,49.93748,
1741901470712,0.2716291,285,,Right,721.0068,760.1997,49.93748,
1741901470712,0.2716291,285,,Center,721.4484,760.1997,49.93748,
1741901470748,0.3278677,286,,Left,720.7253,762.243,49.94453,
1741901470748,0.3278677,286,,Right,719.8423,762.243,49.94453,
1741901470748,0.3278677,286,,Center,720.2838,762.243,49.94453,
1741901470774,0.3649242,287,,Left,723.2832,762.0174,49.94429,
1741901470774,0.3649242,287,,Right,722.4001,762.0174,49.94429,
1741901470774,0.3649242,287,,Center,722.8417,762.0174,49.94429,
1741901470801,0.391433,288,,Left,724.1964,757.9816,49.93208,
1741901470801,0.391433,288,,Right,723.3132,757.9816,49.93209,
1741901470801,0.391433,288,,Center,723.7548,757.9816,49.93209,
1741901470840,0.4171312,289,,Left,727.2505,753.2139,49.91398,
1741901470840,0.4171312,289,,Right,726.3669,753.214,49.91398,
1741901470840,0.4171312,289,,Center,726.8087,753.2139,49.91399,
1741901470883,0.4570534,290,,Left,748.4129,755.252,49.8866,
1741901470883,0.4570534,290,,Right,747.5288,755.252,49.8866,
1741901470883,0.4570534,290,,Center,747.9708,755.252,49.8866,
1741901470911,0.4984548,291,,Left,750.4186,763.0562,49.90549,
1741901470911,0.4984548,291,,Right,749.5349,763.0562,49.90549,
1741901470911,0.4984548,291,,Center,749.9768,763.0562,49.90549,
1741901470940,0.5273821,292,,Left,750.2316,765.6912,49.91254,
1741901470940,0.5273821,292,,Right,749.3479,765.6912,49.91254,
1741901470940,0.5273821,292,,Center,749.7897,765.6912,49.91254,
1741901470968,0.557605,293,,Left,751.1276,765.0338,49.9078,
1741901470968,0.557605,293,,Right,750.2439,765.0338,49.90779,
1741901470968,0.557605,293,,Center,750.6857,765.0338,49.9078,
1741901470996,0.5842583,294,,Left,750.9432,768.4178,49.91625,
1741901470996,0.5842583,294,,Right,750.0597,768.4178,49.91624,
1741901470996,0.5842583,294,,Center,750.5015,768.4178,49.91624,
1741901471026,0.6126673,295,,Left,749.1633,767.4445,49.91829,
1741901471026,0.6126673,295,,Right,748.2798,767.4445,49.91829,
1741901471026,0.6126673,295,,Center,748.7215,767.4445,49.91829,
1741901471054,0.6416547,296,,Left,745.6907,766.5467,49.92423,
1741901471054,0.6416547,296,,Right,744.8074,766.5467,49.92423,
1741901471054,0.6416547,296,,Center,745.2491,766.5467,49.92422,
1741901471082,0.6700675,297,,Left,746.239,765.1002,49.9202,
1741901471082,0.6700675,297,,Right,745.3555,765.1002,49.9202,
1741901471082,0.6700675,297,,Center,745.7972,765.1002,49.9202,
1741901471110,0.6968229,298,,Left,744.9808,758.7485,49.90378,
1741901471110,0.6968229,298,,Right,744.097,758.7485,49.90377,
1741901471110,0.6968229,298,,Center,744.5389,758.7485,49.90378,
1741901471138,0.7254007,299,Eye Hit,Left,670.3406,746.1435,49.76195,NorthSidewalk
1741901471138,0.7254007,299,Eye Hit,Right,669.4543,746.1435,49.76194,NorthSidewalk
1741901471138,0.7254007,299,Eye Hit,Center,669.8974,746.1435,49.76195,NorthSidewalk
