unix_ms,rel_timestamp,frame,event,side,screen_pos_x,screen_pos_y,screen_pos_z,target_name
1742690163536,0,,Activation,,,,,
1742690163536,0,322,,Left,0,0,0,
1742690163536,0,322,,Right,0,0,0,
1742690163536,0,322,,Center,0,0,0,
1742690163645,0.01999998,324,,Left,704.4258,676.7559,49.37364,
1742690163645,0.01999998,324,,Right,703.4233,676.7559,49.37364,
1742690163645,0.01999998,324,,Center,703.9246,676.7559,49.37364,
1742690163671,0.04822111,325,,Left,704.5806,677.0542,49.37724,
1742690163671,0.04822111,325,,Right,703.5781,677.0542,49.37724,
1742690163671,0.04822111,325,,Center,704.0793,677.0542,49.37724,
1742690163690,0.07363319,326,,Left,704.6274,677.7673,49.38513,
1742690163690,0.07363319,326,,Right,703.6251,677.7673,49.38513,
1742690163690,0.07363319,326,,Center,704.1263,677.7673,49.38513,
1742690163710,0.09649658,327,,Left,704.5745,678.0083,49.38774,
1742690163710,0.09649658,327,,Right,703.5722,678.0083,49.38773,
1742690163710,0.09649658,327,,Center,704.0734,678.0083,49.38774,
1742690163728,0.1138024,328,,Left,704.3895,678.1779,49.38935,
1742690163728,0.1138024,328,,Right,703.3873,678.1779,49.38936,
1742690163728,0.1138024,328,,Center,703.8884,678.178,49.38936,
1742690163745,0.1315899,329,,Left,704.3018,678.6087,49.3939,
1742690163745,0.1315899,329,,Right,703.2997,678.6087,49.3939,
1742690163745,0.1315899,329,,Center,703.8007,678.6087,49.3939,
1742690163761,0.148519,330,,Left,765.3867,382.1573,43.29956,
1742690163761,0.148519,330,,Right,764.2435,382.1573,43.29957,
1742690163761,0.148519,330,,Center,764.8151,382.1574,43.29956,
1742690163793,0.1807256,332,,Left,724.6127,782.4167,49.97684,
1742690163793,0.1807256,332,,Right,723.6223,782.4167,49.97685,
1742690163793,0.1807256,332,,Center,724.1176,782.4167,49.97685,
1742690163823,0.211225,334,,Left,721.5406,782.2138,49.97721,
1742690163823,0.211225,334,,Right,720.5502,782.2138,49.97721,
1742690163823,0.211225,334,,Center,721.0454,782.2138,49.97721,
1742690163853,0.2410498,336,,Left,721.6025,777.3506,49.97128,
1742690163853,0.2410498,336,,Right,720.612,777.3506,49.97128,
1742690163853,0.2410498,336,,Center,721.1072,777.3506,49.97128,
1742690163882,0.2703142,338,,Left,721.566,777.5956,49.97161,
1742690163882,0.2703142,338,,Right,720.5754,777.5956,49.97161,
1742690163882,0.2703142,338,,Center,721.0707,777.5956,49.97161,
1742690163911,0.2991786,340,,Left,721.5314,787.3112,49.98061,
1742690163911,0.2991786,340,,Right,720.5411,787.3112,49.98061,
1742690163911,0.2991786,340,,Center,721.0363,787.3112,49.98061,
1742690163939,0.328824,342,,Left,721.2245,786.5067,49.98017,
1742690163939,0.328824,342,,Right,720.2341,786.5067,49.98017,
1742690163939,0.328824,342,,Center,720.7292,786.5067,49.98017,
1742690163968,0.3567643,344,,Left,723.6929,809.4794,49.96617,
1742690163968,0.3567643,344,,Right,722.7023,809.4793,49.96617,
1742690163968,0.3567643,344,,Center,723.1976,809.4794,49.96617,
1742690163995,0.3845882,346,,Left,723.1744,810.1651,49.96516,
1742690163996,0.3845882,346,,Right,722.1838,810.1651,49.96516,
1742690163996,0.3845882,346,,Center,722.679,810.165,49.96516,
1742690164024,0.4128628,348,,Left,713.9643,763.9323,49.94118,
1742690164024,0.4128628,348,,Right,712.9732,763.9323,49.94118,
1742690164024,0.4128628,348,,Center,713.4688,763.9323,49.94118,
1742690164052,0.4411287,350,,Left,709.4694,761.5749,49.93056,
1742690164052,0.4411287,350,,Right,708.4781,761.5749,49.93057,
1742690164052,0.4411287,350,,Center,708.9738,761.5749,49.93056,
1742690164079,0.4688296,352,,Left,708.2489,762.0878,49.93068,
1742690164079,0.4688296,352,,Right,707.2576,762.0878,49.93068,
1742690164079,0.4688296,352,,Center,707.7533,762.0878,49.93068,
1742690164107,0.4965057,354,,Left,704.7751,763.3358,49.92955,
1742690164107,0.4965057,354,,Right,703.7838,763.3358,49.92955,
1742690164107,0.4965057,354,,Center,704.2795,763.3359,49.92955,
1742690164136,0.5247879,356,,Left,698.9496,774.9122,49.94491,
1742690164136,0.5247879,356,,Right,697.9586,774.9122,49.94491,
1742690164136,0.5247879,356,,Center,698.4541,774.9122,49.94492,
1742690164163,0.5526137,358,,Left,693.3325,778.5941,49.93718,
1742690164163,0.5526137,358,,Right,692.3412,778.5941,49.93718,
1742690164163,0.5526137,358,,Center,692.8369,778.5941,49.93718,
1742690164190,0.5802193,360,,Left,690.8873,796.1698,49.93843,
1742690164190,0.5802193,360,,Right,689.8961,796.1698,49.93843,
1742690164190,0.5802193,360,,Center,690.3917,796.1698,49.93843,
1742690164217,0.606379,362,,Left,686.9223,796.7253,49.92616,
1742690164217,0.606379,362,,Right,685.9309,796.7253,49.92616,
1742690164217,0.606379,362,,Center,686.4266,796.7253,49.92616,
1742690164245,0.6339145,364,,Left,686.9872,795.877,49.92697,
1742690164245,0.6339145,364,,Right,685.9958,795.877,49.92697,
1742690164245,0.6339145,364,,Center,686.4916,795.877,49.92697,
1742690164273,0.6625977,366,,Left,682.1792,796.0356,49.91082,
1742690164273,0.6625977,366,,Right,681.1876,796.0356,49.91082,
1742690164273,0.6625977,366,,Center,681.6833,796.0356,49.91082,
1742690164301,0.6926565,368,,Left,683.9828,796.6299,49.91753,
1742690164301,0.6926565,368,,Right,682.9912,796.6299,49.91753,
1742690164301,0.6926565,368,,Center,683.487,796.6299,49.91753,
1742690164329,0.7185555,370,,Left,683.732,797.3714,49.91651,
1742690164329,0.7185555,370,,Right,682.7404,797.3714,49.91651,
1742690164329,0.7185555,370,,Center,683.2362,797.3714,49.91652,
1742690164356,0.7456532,372,,Left,683.3516,796.709,49.91548,
1742690164356,0.7456532,372,,Right,682.36,796.709,49.91548,
1742690164356,0.7456532,372,,Center,682.8558,796.709,49.91548,
1742690164384,0.7730536,374,,Left,683.9881,796.3646,49.91775,
1742690164384,0.7730536,374,,Right,682.9965,796.3646,49.91775,
1742690164384,0.7730536,374,,Center,683.4924,796.3646,49.91775,
1742690164411,0.8003545,376,,Left,684.2283,796.0339,49.91846,
1742690164411,0.8003545,376,,Right,683.2368,796.0339,49.91846,
1742690164411,0.8003545,376,,Center,683.7326,796.0339,49.91846,
1742690164440,0.8285255,378,,Left,679.1568,794.4099,49.90037,
1742690164440,0.8285255,378,,Right,678.1649,794.4099,49.90037,
