unix_ms,event_type,title,description,x,y,z
1742764874819,Activation,,,,,
1742764874819,Anchor,Left,Center,720,792,60
1742764874819,Anchor,Left,Top Left,481.6771,911.1615,60
1742764874819,Anchor,Left,Top Right,958.323,911.1615,60
1742764874819,Anchor,Left,Bottom Left,481.6771,672.8385,60
1742764874819,Anchor,Right,Center,720,792,60
1742764874819,Anchor,Right,Top Left,481.6771,911.1615,60
1742764874819,Anchor,Right,Top Right,958.323,911.1615,60
1742764874819,Anchor,Right,Bottom Left,481.6771,672.8385,60
1742764874819,Anchor,Center,Center,720,792,60
1742764874819,Anchor,Center,Top Left,481.6771,911.1615,60
1742764874819,Anchor,Center,Top Right,958.323,911.1615,60
1742764874819,Anchor,Center,Bottom Left,481.6771,672.8385,60
1742764892931,Deactivate,,,,,
