unix_ms,rel_timestamp,frame,event,side,screen_pos_x,screen_pos_y,screen_pos_z,target_name
1742764874819,0,,Activation,,,,,
1742764874819,0,321,,Left,0,0,0,
1742764874819,0,321,,Right,0,0,0,
1742764874819,0,321,,Center,0,0,0,
1742764874924,0.01999998,323,,Left,1284.765,851.9588,39.16162,
1742764874924,0.01999998,323,,Right,1283.496,851.9588,39.16162,
1742764874924,0.01999998,323,,Center,1284.13,851.9588,39.16162,
1742764874950,0.04910946,324,,Left,1279.376,852.6803,39.30231,
1742764874950,0.04910946,324,,Right,1278.112,852.6803,39.30232,
1742764874950,0.04910946,324,,Center,1278.744,852.6803,39.30232,
1742764874969,0.07487488,325,,Left,1277.603,854.0893,39.34525,
1742764874969,0.07487488,325,,Right,1276.34,854.0893,39.34526,
1742764874969,0.07487488,325,,Center,1276.971,854.0893,39.34526,
1742764874990,0.09649658,326,,Left,1277.294,854.5551,39.35212,
1742764874990,0.09649658,326,,Right,1276.032,854.5551,39.35212,
1742764874990,0.09649658,326,,Center,1276.663,854.5551,39.35212,
1742764875007,0.1141777,327,,Left,1276.982,854.8117,39.35966,
1742764875008,0.1141777,327,,Right,1275.72,854.8117,39.35966,
1742764875008,0.1141777,327,,Center,1276.351,854.8117,39.35966,
1742764875024,0.1321387,328,,Left,1277.134,855.2703,39.3543,
1742764875024,0.1321387,328,,Right,1275.872,855.2703,39.3543,
1742764875024,0.1321387,328,,Center,1276.503,855.2703,39.3543,
1742764875041,0.1488791,329,,Left,1276.982,856.4073,39.35496,
1742764875041,0.1488791,329,,Right,1275.719,856.4073,39.35496,
1742764875041,0.1488791,329,,Center,1276.35,856.4073,39.35496,
1742764875072,0.1817389,331,,Left,721.9795,773.5577,49.96544,
1742764875072,0.1817389,331,,Right,720.9852,773.5577,49.96545,
1742764875072,0.1817389,331,,Center,721.4824,773.5577,49.96544,
1742764875103,0.2118492,333,,Left,369.4727,407.5605,40.4065,
1742764875103,0.2118492,333,,Right,368.2431,407.5605,40.4065,
1742764875103,0.2118492,333,,Center,368.8578,407.5605,40.40649,
1742764875132,0.2415767,335,,Left,364.0727,404.9247,40.25631,
1742764875132,0.2415767,335,,Right,362.8385,404.9247,40.25631,
1742764875132,0.2415767,335,,Center,363.4556,404.9247,40.25631,
1742764875161,0.2710667,337,,Left,370.8611,415.7099,40.5933,
1742764875161,0.2710667,337,,Right,369.6371,415.7099,40.59331,
1742764875161,0.2710667,337,,Center,370.2492,415.71,40.5933,
1742764875190,0.3002644,339,,Left,369.896,414.9558,40.56088,
1742764875190,0.3002644,339,,Right,368.6711,414.9558,40.56088,
1742764875190,0.3002644,339,,Center,369.2837,414.9559,40.56088,
1742764875218,0.328371,341,,Left,402.5324,276.6262,38.14031,
1742764875218,0.328371,341,,Right,401.2297,276.6262,38.14031,
1742764875218,0.328371,341,,Center,401.8811,276.6264,38.14031,
1742764875247,0.3568192,343,,Left,394.3492,250.372,37.4425,
1742764875247,0.3568192,343,,Right,393.0222,250.372,37.4425,
1742764875247,0.3568192,343,,Center,393.6858,250.3721,37.4425,
1742764875275,0.3849769,345,,Left,393.0431,249.9526,37.41597,
1742764875275,0.3849769,345,,Right,391.7152,249.9526,37.41597,
1742764875275,0.3849769,345,,Center,392.3792,249.9528,37.41597,
1742764875303,0.4134402,347,,Left,377.1728,233.7327,36.84489,
1742764875303,0.4134402,347,,Right,375.8242,233.7327,36.84489,
1742764875303,0.4134402,347,,Center,376.4985,233.7328,36.84489,
1742764875331,0.4416671,349,,Left,377.8072,237.4263,36.9342,
1742764875331,0.4416671,349,,Right,376.462,237.4263,36.9342,
1742764875331,0.4416671,349,,Center,377.1347,237.4264,36.9342,
1742764875359,0.4700074,351,,Left,380.4688,236.9767,36.96016,
1742764875359,0.4700074,351,,Right,379.1245,236.9767,36.96016,
1742764875359,0.4700074,351,,Center,379.7968,236.9768,36.96015,
1742764875386,0.4971042,353,,Left,382.2288,237.0806,36.98589,
1742764875386,0.4971042,353,,Right,380.8854,237.0806,36.98589,
1742764875386,0.4971042,353,,Center,381.5573,237.0808,36.98589,
1742764875413,0.5254378,355,,Left,382.8179,224.4427,36.71554,
1742764875413,0.5254378,355,,Right,381.4647,224.4427,36.71554,
1742764875413,0.5254378,355,,Center,382.1413,224.4429,36.71554,
1742764875440,0.5515747,357,,Left,385.8979,228.2091,36.83894,
1742764875441,0.5515747,357,,Right,384.5491,228.2091,36.83894,
1742764875441,0.5515747,357,,Center,385.2235,228.2092,36.83894,
1742764875468,0.5785532,359,,Left,373.4333,223.989,36.58168,
1742764875468,0.5785532,359,,Right,372.0752,223.989,36.58168,
1742764875468,0.5785532,359,,Center,372.7544,223.9891,36.58169,
1742764875496,0.6063719,361,,Left,369.9236,221.0864,36.47203,
1742764875496,0.6063719,361,,Right,368.5613,221.0864,36.47203,
1742764875496,0.6063719,361,,Center,369.2426,221.0866,36.47203,
1742764875524,0.6345215,363,,Left,367.4038,222.2824,36.46441,
1742764875524,0.6345215,363,,Right,366.0413,222.2824,36.46441,
1742764875524,0.6345215,363,,Center,366.7227,222.2826,36.46441,
1742764875552,0.6622305,365,,Left,358.0173,206.8797,36.00791,
1742764875552,0.6622305,365,,Right,356.6375,206.8797,36.00791,
1742764875552,0.6622305,365,,Center,357.3275,206.8798,36.00791,
1742764875580,0.6902494,367,,Left,360.2313,213.293,36.17467,
1742764875580,0.6902494,367,,Right,358.8578,213.293,36.17467,
1742764875580,0.6902494,367,,Center,359.5446,213.2931,36.17467,
1742764875607,0.7174878,369,,Left,359.7518,214.4475,36.19323,
1742764875607,0.7174878,369,,Right,358.3791,214.4475,36.19323,
1742764875607,0.7174878,369,,Center,359.0655,214.4476,36.19323,
1742764875635,0.7452807,371,,Left,356.3115,196.6068,35.76597,
1742764875635,0.7452807,371,,Right,354.9224,196.6068,35.76597,
1742764875635,0.7452807,371,,Center,355.6171,196.6069,35.76597,
1742764875663,0.7729168,373,,Left,350.7025,210.6404,35.99017,
1742764875663,0.7729168,373,,Right,349.322,210.6404,35.99017,
1742764875663,0.7729168,373,,Center,350.0122,210.6406,35.99017,
1742764875690,0.801054,375,,Left,354.4203,229.4538,36.44129,
1742764875690,0.801054,375,,Right,353.0569,229.4538,36.44129,
1742764875690,0.801054,375,,Center,353.7387,229.4539,36.44129,
1742764875718,0.8284783,377,,Left,351.019,228.9495,36.38323,
1742764875718,0.8284783,377,,Right,349.6534,228.9495,36.38323,
1742764875718,0.8284783,377,,Center,350.3363,228.9497,36.38323,
1742764875746,0.8562183,379,,Left,343.6791,211.8379,35.92002,
1742764875746,0.8562183,379,,Right,342.2959,211.8379,35.92002,
1742764875746,0.8562183,379,,Center,342.9876,211.8381,35.92002,
1742764875774,0.8841476,381,,Left,341.8208,211.2844,35.88328,
1742764875774,0.8841476,381,,Right,340.4361,211.2844,35.88329,
1742764875774,0.8841476,381,,Center,341.1285,211.2845,35.88329,
1742764875801,0.911778,383,,Left,332.5124,207.5909,35.67803,
1742764875801,0.911778,383,,Right,331.1198,207.5909,35.67803,
1742764875801,0.911778,383,,Center,331.8161,207.5908,35.67802,
1742764875829,0.9395728,385,,Left,342.3059,201.145,35.67665,
1742764875829,0.9395728,385,,Right,340.9133,201.145,35.67665,
1742764875829,0.9395728,385,,Center,341.6097,201.1451,35.67665,
1742764875857,0.9673424,387,,Left,328.0992,210.0617,35.66795,
1742764875857,0.9673424,387,,Right,326.7062,210.0617,35.66795,
1742764875857,0.9673424,387,,Center,327.4028,210.0618,35.66795,
1742764875885,0.9950624,389,,Left,335.1221,245.5838,36.50575,
1742764875885,0.9950624,389,,Right,333.7611,245.5838,36.50575,
1742764875885,0.9950624,389,,Center,334.4417,245.5839,36.50575,
1742764875913,1.022874,391,,Left,333.1921,244.175,36.44797,
1742764875913,1.022874,391,,Right,331.8289,244.175,36.44797,
1742764875913,1.022874,391,,Center,332.5107,244.1753,36.44798,
1742764875940,1.050911,393,,Left,332.4873,238.7764,36.32577,
1742764875940,1.050911,393,,Right,331.1195,238.7764,36.32577,
1742764875941,1.050911,393,,Center,331.8035,238.7765,36.32577,
1742764875968,1.078695,395,,Left,333.3321,230.0741,36.157,
1742764875968,1.078695,395,,Right,331.9579,230.0741,36.157,
1742764875968,1.078695,395,,Center,332.6452,230.0743,36.157,
1742764875996,1.106464,397,,Left,315.3107,220.6921,35.70449,
1742764875996,1.106464,397,,Right,313.9191,220.6921,35.70449,
1742764875996,1.106464,397,,Center,314.6149,220.6921,35.70448,
1742764876024,1.134513,399,,Left,330.6877,221.5232,35.94156,
1742764876024,1.134513,399,,Right,329.3054,221.5232,35.94156,
1742764876024,1.134513,399,,Center,329.9967,221.5233,35.94156,
1742764876052,1.162179,401,,Left,322.351,213.2616,35.65286,
1742764876052,1.162179,401,,Right,320.9575,213.2616,35.65286,
1742764876053,1.162179,401,,Center,321.6543,213.2617,35.65286,
1742764876080,1.189884,403,,Left,325.5753,218.3584,35.80314,
1742764876080,1.189884,403,,Right,324.1875,218.3584,35.80314,
1742764876080,1.189884,403,,Center,324.8815,218.3585,35.80314,
1742764876108,1.217928,405,,Left,326.6201,221.7902,35.88866,
1742764876108,1.217928,405,,Right,325.2357,221.7902,35.88866,
1742764876108,1.217928,405,,Center,325.9279,221.7904,35.88866,
1742764876136,1.245852,407,,Left,327.3226,223.9464,35.94294,
1742764876136,1.245852,407,,Right,325.9403,223.9464,35.94294,
1742764876136,1.245852,407,,Center,326.6316,223.9465,35.94294,
1742764876163,1.27374,409,,Left,322.7314,226.444,35.92832,
1742764876163,1.27374,409,,Right,321.3485,226.444,35.92831,
1742764876163,1.27374,409,,Center,322.04,226.4442,35.92832,
1742764876192,1.30178,411,,Left,324.4234,249.4527,36.42609,
1742764876192,1.30178,411,,Right,323.0594,249.4527,36.42609,
1742764876192,1.30178,411,,Center,323.7415,249.4529,36.42609,
