frame,x,y
722,-75,795
734,374,411
736,374,411
737,373,412
738,373,412
739,373,412
740,373,412
741,373,412
742,373,413
743,373,413
744,351,356
745,350,356
746,312,298
747,312,298
748,308,296
749,308,295
750,308,295
751,308,294
752,308,294
753,308,294
754,308,294
755,308,294
756,333,348
757,333,348
758,334,348
759,333,348
760,337,314
761,337,314
762,337,314
763,337,313
764,337,313
765,338,309
766,338,309
767,338,309
768,339,307
769,339,307
770,340,306
771,340,306
772,339,305
773,342,302
774,342,302
775,342,301
776,342,300
777,341,300
778,340,300
779,340,299
780,341,300
781,341,299
782,343,300
783,343,300
784,344,305
785,344,304
786,345,304
787,346,306
788,347,305
789,350,306
790,352,306
791,355,305
792,356,306
793,360,307
794,359,306
795,362,306
796,364,305
797,368,305
798,372,305
799,370,305
800,373,305
801,373,309
802,375,309
803,376,310
804,373,310
805,374,310
806,372,306
807,371,307
808,369,306
809,368,306
810,365,312
811,363,311
812,361,311
813,356,310
814,344,307
815,342,307
816,341,305
817,339,305
818,339,305
819,337,305
820,336,305
821,337,302
822,337,302
823,337,302
824,337,301
825,340,302
826,340,301
827,342,298
828,342,298
829,344,298
830,345,297
831,345,295
832,346,295
833,347,294
834,346,292
835,347,290
836,348,288
837,346,289
838,347,286
839,345,288
840,345,285
841,343,288
842,343,286
843,343,285
844,344,289
845,343,288
846,340,291
847,339,291
848,339,292
849,344,292
850,343,293
851,338,293
852,337,293
853,339,293
854,338,293
855,337,293
856,338,293
857,337,294
858,341,305
859,340,306
860,342,305
861,341,306
862,340,306
863,342,306
864,342,307
865,343,304
866,344,305
867,344,305
868,344,307
869,344,308
870,345,305
871,344,306
872,345,307
873,345,309
875,346,309
876,346,310
877,347,310
878,346,307
879,346,307
880,345,302
881,346,302
882,346,299
883,346,299
884,347,299
885,347,301
886,347,301
887,346,304
888,346,304
889,342,303
890,342,303
891,341,303
892,341,303
893,341,300
894,341,300
895,340,300
896,341,298
897,342,298
898,342,299
899,342,299
900,340,300
901,340,300
902,338,304
904,338,304
905,338,304
906,338,305
907,339,305
908,339,305
909,339,305
910,339,306
911,339,306
912,339,306
913,338,306
914,338,305
915,338,305
916,338,304
917,338,304
918,338,304
919,345,304
920,345,304
921,345,304
922,345,304
923,285,355
924,285,355
925,285,355
926,284,376
927,284,376
928,286,375
929,286,375
930,286,375
931,283,340
932,283,340
933,331,274
935,342,274
936,342,274
937,342,275
938,350,294
939,350,298
940,350,298
941,350,298
942,348,300
943,349,300
944,348,300
945,351,298
947,351,298
948,350,298
949,352,298
951,352,299
952,352,299
953,352,299
954,353,298
955,353,298
956,352,300
957,352,300
958,352,300
959,352,298
960,352,298
961,350,300
962,350,299
963,350,299
964,350,299
965,350,299
966,350,299
967,350,299
968,350,300
969,349,299
970,349,299
971,349,299
972,350,299
973,350,300
974,350,300
975,350,300
976,350,302
977,350,302
978,350,302
979,350,302
980,350,301
982,350,301
983,351,303
984,351,303
985,351,305
986,351,306
987,351,306
988,347,308
989,347,309
990,347,310
991,347,310
992,348,311
993,348,311
994,348,312
995,347,310
996,344,312
997,344,312
998,344,312
1000,344,313
1001,344,313
1002,344,313
1004,348,313
1005,348,313
1006,348,313
1007,350,310
1008,350,305
1009,350,305
1010,351,305
1011,350,305
1012,350,305
1013,351,306
1014,350,307
1015,350,307
1016,350,307
1017,350,310
1018,350,310
1019,350,307
1020,349,307
1022,349,307
1023,349,307
1024,349,307
1025,349,307
1026,349,307
1027,349,307
1028,349,307
1029,348,307
1030,347,307
1031,350,307
1032,351,307
1034,351,307
1035,351,305
1036,351,304
1037,348,304
1038,348,304
1039,348,304
1041,347,304
1043,347,304
1044,347,304
1046,347,304
1047,347,304
1048,347,306
1049,347,306
1050,348,306
1052,348,306
1053,348,306
1054,348,306
1055,348,301
1057,348,302
1058,348,302
1059,348,302
1060,349,301
1062,349,302
1063,349,302
1064,348,300
1065,348,300
1066,348,302
1067,348,302
1068,349,303
1069,349,303
1070,349,303
1071,350,305
1072,350,305
1073,349,305
1074,349,305
1075,349,305
1076,349,305
1077,349,301
1078,349,301
1079,347,299
1080,347,299
1081,347,299
1082,347,299
1083,348,299
1084,348,299
1086,348,299
1087,349,299
1088,349,299
1089,349,301
1090,348,301
1091,348,301
1092,348,301
1093,347,301
1094,347,301
1095,345,302
1096,345,302
1097,345,302
1098,345,303
1099,345,303
1100,345,303
1102,345,302
1103,345,302
1104,345,302
1105,345,302
1106,345,302
1107,345,302
1108,346,301
1110,346,301
1111,346,301
1112,347,301
1114,347,301
1115,347,302
1116,347,302
1117,342,301
1118,342,301
1119,342,301
1121,346,301
1122,346,301
1123,346,301
1124,346,302
1125,346,302
1126,346,302
1128,346,303
1129,345,302
1130,345,302
1131,345,302
1132,345,304
1134,345,304
1135,345,304
1136,345,304
1137,345,304
1138,344,305
1139,344,305
1140,344,305
1141,343,305
1142,343,305
1143,343,304
1145,343,304
1146,343,304
1147,343,304
1148,342,304
1149,343,304
1150,343,304
1152,343,304
1153,342,303
1154,342,303
1155,342,303
1157,342,306
1158,342,306
1159,342,306
1160,341,307
1161,341,307
1162,341,306
1164,341,307
1165,341,307
1166,341,307
1167,341,305
1168,306,290
1169,307,291
1170,307,291
1171,235,246
1173,235,247
1174,179,227
1175,179,227
1176,156,217
1177,157,217
1178,157,217
1179,152,212
1181,154,208
1182,154,207
1183,153,204
1184,153,204
1186,157,205
1187,160,199
1189,161,199
1190,161,199
1191,161,196
1193,161,196
1194,162,196
1195,162,196
1196,162,199
1197,163,199
1198,165,204
1199,166,204
1201,166,204
1202,166,204
1203,166,203
1205,165,202
1206,165,202
1207,165,202
1208,163,203
1209,163,203
1210,163,207
1212,166,208
1213,167,209
1214,167,209
1215,167,209
1216,167,210
1217,163,209
1218,163,209
1219,163,209
1220,162,210
1221,162,210
1222,160,212
1224,159,212
1225,159,212
1226,158,212
1227,158,210
1228,158,210
1229,159,210
1230,159,210
1231,159,210
1232,161,209
1233,161,209
1234,161,211
1236,162,210
1237,162,210
1238,162,210
1239,162,210
1240,163,210
1241,165,210
1242,165,210
1243,165,210
1244,165,210
1245,165,210
1246,164,212
1247,164,212
1248,164,212
1249,164,212
1250,164,212
1251,164,212
1252,164,213
1253,164,213
1254,164,213
1255,163,213
1256,163,213
1257,162,213
1259,160,213
1260,160,213
1261,161,213
1262,161,213
1263,161,213
1264,163,210
1266,163,210
1267,163,210
1268,163,210
1269,163,210
1271,162,210
1272,162,210
1273,162,210
1274,163,209
1275,163,210
1276,161,209
1278,162,209
1279,162,209
1280,162,209
1281,161,208
1282,162,208
1284,162,208
1285,162,208
1286,164,208
1287,164,208
1288,163,206
1289,160,211
1291,160,211
1292,160,211
1293,160,210
1294,160,210
1295,161,210
1296,161,210
1297,161,210
1298,162,209
1299,162,209
1300,165,209
1302,165,209
1303,165,209
1304,165,209
1305,166,209
1306,166,209
1307,164,209
1308,164,209
1309,164,209
1310,163,209
1311,163,209
1312,163,209
1314,166,210
1315,166,210
1316,166,210
1317,166,210
1318,162,211
1319,162,211
1321,162,210
1322,162,210
1323,162,210
1324,166,211
1326,167,210
1327,167,210
1328,167,210
1329,165,208
1330,165,208
1331,167,209
1332,167,209
1333,167,209
1334,163,208
1335,163,208
1336,163,209
1337,163,209
1338,163,210
1339,163,210
1340,163,210
1341,164,211
1342,164,211
1343,167,211
1344,166,211
1345,168,211
1346,168,211
1348,170,209
1349,170,209
1350,170,212
1351,170,212
1352,170,212
1353,170,212
1354,170,211
1355,170,212
1356,170,212
1357,170,213
1358,170,213
1359,170,213
1360,170,215
1361,170,215
1362,171,215
1363,171,215
1364,171,215
1365,171,215
1366,171,215
1367,169,215
1368,168,218
1369,168,218
1371,168,218
1372,168,215
1373,168,215
1374,167,215
1375,167,216
1376,167,216
1377,166,213
1378,166,213
1379,167,215
1380,168,213
1382,168,213
1383,167,214
1384,274,220
1385,273,220
1386,369,226
1387,369,226
1388,368,226
1389,465,240
1390,534,249
1391,534,249
1392,542,249
1394,542,248
