unix_ms,rel_timestamp,frame,event,side,screen_pos_x,screen_pos_y,screen_pos_z,target_name
1742767016135,0,,Activation,,,,,
1742767016135,0,278,,Left,0,0,0,
1742767016135,0,278,,Right,0,0,0,
1742767016135,0,278,,Center,0,0,0,
1742767016432,0.01999998,280,,Left,671.3061,787.957,49.86222,
1742767016432,0.01999998,280,,Right,670.3096,787.957,49.86222,
1742767016432,0.01999998,280,,Center,670.8079,787.957,49.86222,
1742767016483,0.07281947,281,,Left,688.9593,789.0049,49.93162,
1742767016483,0.07281947,281,,Right,687.9642,789.0049,49.93161,
1742767016483,0.07281947,281,,Center,688.4618,789.0049,49.93162,
1742767016538,0.1219642,282,,Left,696.9174,748.2147,49.85994,
1742767016538,0.1219642,282,,Right,695.9208,748.2147,49.85994,
1742767016538,0.1219642,282,,Center,696.4191,748.2147,49.85994,
1742767016579,0.1920774,283,,Left,696.8342,749.643,49.86594,
1742767016579,0.1920774,283,,Right,695.8379,749.643,49.86594,
1742767016579,0.1920774,283,,Center,696.3361,749.643,49.86594,
1742767016637,0.2197368,284,,Left,697.5854,752.8203,49.87986,
1742767016637,0.2197368,284,,Right,696.5894,752.8203,49.87986,
1742767016637,0.2197368,284,,Center,697.0874,752.8203,49.87986,
1742767016677,0.2751744,285,,Left,706.1391,755.9581,49.90701,
1742767016677,0.2751744,285,,Right,705.1436,755.9581,49.90701,
1742767016677,0.2751744,285,,Center,705.6414,755.9581,49.90701,
1742767016704,0.3154414,286,,Left,703.6458,753.0995,49.8929,
1742767016704,0.3154414,286,,Right,702.65,753.0995,49.89291,
1742767016704,0.3154414,286,,Center,703.1479,753.0995,49.8929,
1742767016732,0.3433821,287,,Left,703.3153,751.9182,49.88787,
1742767016732,0.3433821,287,,Right,702.3193,751.9182,49.88787,
1742767016732,0.3433821,287,,Center,702.8173,751.9182,49.88787,
1742767016760,0.3787963,288,,Left,703.2784,752.6589,49.89041,
1742767016760,0.3787963,288,,Right,702.2826,752.6589,49.89042,
1742767016760,0.3787963,288,,Center,702.7805,752.6589,49.89041,
1742767016797,0.3990109,289,,Left,700.396,749.8063,49.87403,
1742767016797,0.3990109,289,,Right,699.3998,749.8063,49.87403,
1742767016797,0.3990109,289,,Center,699.8979,749.8063,49.87403,
1742767016838,0.4350631,290,,Left,700.9281,749.5787,49.87418,
1742767016838,0.4350631,290,,Right,699.9319,749.5787,49.87418,
1742767016838,0.4350631,290,,Center,700.4301,749.5787,49.87418,
1742767016870,0.4769757,291,Eye Hit,Left,701.5166,746.1815,49.86104,NorthSidewalk
1742767016870,0.4769757,291,Eye Hit,Right,700.5201,746.1815,49.86104,NorthSidewalk
1742767016870,0.4769757,291,Eye Hit,Center,701.0184,746.1815,49.86103,NorthSidewalk
1742767016911,0.5078185,292,Eye Hit,Left,701.4756,745.8615,49.85936,NorthSidewalk
1742767016911,0.5078185,292,Eye Hit,Right,700.4792,745.8615,49.85936,NorthSidewalk
1742767016911,0.5078185,292,Eye Hit,Center,700.9774,745.8615,49.85936,NorthSidewalk
1742767016943,0.5497544,293,Eye Hit,Left,702.2637,744.2673,49.85381,NorthSidewalk
1742767016944,0.5497544,293,Eye Hit,Right,701.2671,744.2673,49.85381,NorthSidewalk
1742767016944,0.5497544,293,Eye Hit,Center,701.7654,744.2673,49.85381,NorthSidewalk
1742767016985,0.5822456,294,Eye Hit,Left,702.0026,742.3934,49.84454,NorthSidewalk
1742767016985,0.5822456,294,Eye Hit,Right,701.0058,742.3934,49.84453,NorthSidewalk
1742767016985,0.5822456,294,Eye Hit,Center,701.5042,742.3934,49.84453,NorthSidewalk
1742767017013,0.6247289,295,Eye Hit,Left,700.9627,732.97,49.79333,NorthSidewalk
1742767017013,0.6247289,295,Eye Hit,Right,699.9649,732.97,49.79333,NorthSidewalk
1742767017013,0.6247289,295,Eye Hit,Center,700.4638,732.97,49.79333,NorthSidewalk
1742767017056,0.6506717,296,Eye Hit,Left,631.3152,647.5831,48.63003,RoadCrosswalk
1742767017056,0.6506717,296,Eye Hit,Right,630.2935,647.5831,48.63003,RoadCrosswalk
1742767017056,0.6506717,296,Eye Hit,Center,630.8044,647.5831,48.63003,RoadCrosswalk
1742767017083,0.6954038,297,Eye Hit,Left,552.4843,565.7569,46.50031,RoadCrosswalk
1742767017083,0.6954038,297,Eye Hit,Right,551.4157,565.7569,46.50032,RoadCrosswalk
1742767017083,0.6954038,297,Eye Hit,Center,551.95,565.757,46.50032,RoadCrosswalk
1742767017125,0.722131,298,Eye Hit,Left,466.5308,460.8623,43.16693,RoadCrosswalk
1742767017125,0.722131,298,Eye Hit,Right,465.3798,460.8623,43.16693,RoadCrosswalk
1742767017125,0.722131,298,Eye Hit,Center,465.9553,460.8623,43.16693,RoadCrosswalk
1742767017155,0.7648499,299,Eye Hit,Left,447.8453,385.0855,41.23356,RoadCrosswalk
1742767017155,0.7648499,299,Eye Hit,Right,446.6404,385.0855,41.23356,RoadCrosswalk
1742767017155,0.7648499,299,Eye Hit,Center,447.2429,385.0855,41.23355,RoadCrosswalk
1742767017180,0.7941277,300,Eye Hit,Left,449.1414,386.4529,41.28345,RoadCrosswalk
1742767017180,0.7941277,300,Eye Hit,Right,447.938,386.4529,41.28345,RoadCrosswalk
1742767017180,0.7941277,300,Eye Hit,Center,448.5397,386.4529,41.28345,RoadCrosswalk
1742767017211,0.818639,301,Eye Hit,Left,449.5199,387.3604,41.30928,RoadCrosswalk
1742767017211,0.818639,301,Eye Hit,Right,448.3171,387.3604,41.30928,RoadCrosswalk
1742767017211,0.818639,301,Eye Hit,Center,448.9185,387.3604,41.30928,RoadCrosswalk
1742767017236,0.8492429,302,Eye Hit,Left,442.0643,387.3518,41.1964,RoadCrosswalk
