unix_ms,rel_timestamp,frame,event,side,screen_pos_x,screen_pos_y,screen_pos_z,target_name
1742692441001,0,,Activation,,,,,
1742692441001,0,280,,Left,0,0,0,
1742692441001,0,280,,Right,0,0,0,
1742692441001,0,280,,Center,0,0,0,
1742692441313,0.01999998,282,,Left,723.1476,825.8065,49.92612,
1742692441313,0.01999998,282,,Right,722.1531,825.8065,49.92612,
1742692441313,0.01999998,282,,Center,722.6504,825.8065,49.92612,
1742692441365,0.0760231,283,Eye Hit,Left,699.9182,804.1245,49.9541,MicroBus5-Detailed
1742692441365,0.0760231,283,Eye Hit,Right,698.9242,804.1245,49.9541,MicroBus5-Detailed
1742692441365,0.0760231,283,Eye Hit,Center,699.4211,804.1245,49.9541,MicroBus5-Detailed
1742692441422,0.1242976,284,Eye Hit,Left,699.54,806.4921,49.95005,MicroBus5-Detailed
1742692441422,0.1242976,284,Eye Hit,Right,698.5459,806.4921,49.95005,MicroBus5-Detailed
1742692441422,0.1242976,284,Eye Hit,Center,699.0429,806.4921,49.95005,MicroBus5-Detailed
1742692441462,0.1986279,285,Eye Hit,Left,699.8071,804.5559,49.95296,MicroBus5-Detailed
1742692441462,0.1986279,285,Eye Hit,Right,698.8131,804.5559,49.95296,MicroBus5-Detailed
1742692441462,0.1986279,285,Eye Hit,Center,699.3101,804.5559,49.95296,MicroBus5-Detailed
1742692441523,0.2276087,286,Eye Hit,Left,688.4791,804.7631,49.92337,MicroBus5-Detailed
1742692441523,0.2276087,286,Eye Hit,Right,687.4845,804.7631,49.92337,MicroBus5-Detailed
1742692441523,0.2276087,286,Eye Hit,Center,687.9818,804.7631,49.92337,MicroBus5-Detailed
1742692441567,0.2822032,287,Eye Hit,Left,694.2545,812.3616,49.92746,MicroBus1-Detailed
1742692441567,0.2822032,287,Eye Hit,Right,693.26,812.3616,49.92745,MicroBus1-Detailed
1742692441567,0.2822032,287,Eye Hit,Center,693.7573,812.3616,49.92746,MicroBus1-Detailed
1742692441596,0.3249111,288,Eye Hit,Left,696.0808,812.4659,49.93169,MicroBus1-Detailed
1742692441596,0.3249111,288,Eye Hit,Right,695.0863,812.466,49.93169,MicroBus1-Detailed
1742692441596,0.3249111,288,Eye Hit,Center,695.5836,812.466,49.9317,MicroBus1-Detailed
