unix_ms,event_type,title,description,x,y,z
1706838210727,Simulation,Simulation Start,,0,0,0
1706838210765,Anchor,Left,Center,720,792,10
1706838210765,Anchor,Left,Top Left,434.0125,934.9938,10
1706838210765,Anchor,Left,Top Right,1005.987,934.9938,10
1706838210765,Anchor,Left,Bottom Left,434.0125,649.0062,10
1706838210765,Anchor,Right,Center,720,792,10
1706838210765,Anchor,Right,Top Left,434.0125,934.9938,10
1706838210765,Anchor,Right,Top Right,1005.987,934.9938,10
1706838210765,Anchor,Right,Bottom Left,434.0125,649.0062,10
1706838228922,Simulation,Trial 1 Start,,0,0,0
1706838228922,Player,position,,0.0009029834,1.66415,-0.02030135
1706838228922,Player,orientation,,0.5082929,0.6803986,359.2457
1706838228922,Eye Tracking,Left,Direction,0.3065941,0.231528,0.9232522
1706838228922,Eye Tracking,Right,Direction,0.2579122,0.23503,0.9371458
1706838228922,Eye Tracking,Center,Direction,0.2825888,0.2352848,0.929938
1706838228922,Eye Tracking,Left,Screen Position,937.7458,972.8951,46.48441
1706838228922,Eye Tracking,Right,Screen Position,936.7826,972.8951,46.48441
1706838228936,Player,position,,0.0008755354,1.664114,-0.020316
1706838228936,Player,orientation,,0.5280954,0.6731886,359.2442
1706838228936,Eye Tracking,Left,Direction,0.3067007,0.2318567,0.9231344
1706838228936,Eye Tracking,Right,Direction,0.2580205,0.2353623,0.9370326
1706838228936,Eye Tracking,Center,Direction,0.2824529,0.2336869,0.9303821
1706838228936,Eye Tracking,Left,Screen Position,937.5373,971.5809,46.50669
1706838228936,Eye Tracking,Right,Screen Position,936.5746,971.5809,46.50669
1706838228950,Player,position,,0.0008475343,1.664071,-0.02033038
1706838228950,Player,orientation,,0.5478631,0.6601419,359.2502
1706838228950,Eye Tracking,Left,Direction,0.3019547,0.2246919,0.9264647
1706838228950,Eye Tracking,Right,Direction,0.2531296,0.2280219,0.9401762
1706838228950,Eye Tracking,Center,Direction,0.2826861,0.233981,0.9302374
1706838228950,Eye Tracking,Left,Screen Position,937.7504,971.8348,46.49948
1706838228950,Eye Tracking,Right,Screen Position,936.7875,971.8348,46.49948
1706838228963,Player,position,,0.0008253893,1.664033,-0.02035262
