unix_ms,event_type,title,description,x,y,z
1706824533065,Simulation,Simulation Start,,0,0,0
1706824533105,Anchor,10m Left,Center,720,792,11
1706824533105,Anchor,10m Left,Top Left,460.0114,921.9943,11
1706824533106,Anchor,10m Left,Top Right,979.9886,921.9943,11
1706824533106,Anchor,10m Left,Bottom Left,460.0114,662.0057,11
1706824533106,Anchor,10m Right,Center,720,792,11
1706824533106,Anchor,10m Right,Top Left,460.0114,921.9943,11
1706824533106,Anchor,10m Right,Top Right,979.9886,921.9943,11
1706824533106,Anchor,10m Right,Bottom Left,460.0114,662.0057,11
1706824533106,Anchor,50m Left,Center,720,792,51
1706824533106,Anchor,50m Left,Top Left,383.5441,960.228,51
1706824533106,Anchor,50m Left,Top Right,1056.456,960.228,51
1706824533106,Anchor,50m Left,Bottom Left,383.5441,623.772,51
1706824533106,Anchor,50m Right,Center,720,792,51
1706824533106,Anchor,50m Right,Top Left,383.5441,960.228,51
1706824533106,Anchor,50m Right,Top Right,1056.456,960.228,51
1706824533106,Anchor,50m Right,Bottom Left,383.5441,623.772,51
1706824536251,Simulation,Trial 1 Start,,0,0,0
1706824536252,Player,position,,-0.007584433,1.686849,-0.01704895
1706824536252,Player,orientation,,3.299736,357.9677,359.7822
1706824536252,Eye Tracking,Left,Direction,0.002192386,0.02039621,0.9997896
1706824536252,Eye Tracking,Right,Direction,-0.05062477,0.02036698,0.99851
1706824536252,Eye Tracking,Center,Direction,-0.02422454,0.02040028,0.9994984
1706824536252,Eye Tracking,Left,Screen Position,703.1119,806.5929,49.97403
1706824536252,Eye Tracking,Right,Screen Position,702.2311,806.5929,49.97403
1706824536265,Player,position,,-0.007529275,1.687016,-0.01702455
1706824536265,Player,orientation,,3.237977,357.9818,359.8009
1706824536265,Eye Tracking,Left,Direction,-0.008901736,0.0260692,0.9996205
1706824536265,Eye Tracking,Right,Direction,-0.06168453,0.02604559,0.9977558
1706824536265,Eye Tracking,Center,Direction,-0.02446037,0.01932629,0.999514
1706824536265,Eye Tracking,Left,Screen Position,702.9435,805.8245,49.97479
1706824536265,Eye Tracking,Right,Screen Position,702.0627,805.8245,49.9748
1706824536280,Player,position,,-0.007478521,1.687184,-0.01697856
1706824536280,Player,orientation,,3.19815,357.9861,359.8154
1706824536280,Eye Tracking,Left,Direction,-0.008968321,0.02537296,0.9996378
1706824536280,Eye Tracking,Right,Direction,-0.06175102,0.02536384,0.9977692
1706824536280,Eye Tracking,Center,Direction,-0.03537188,0.02538858,0.9990517
1706824536280,Eye Tracking,Left,Screen Position,695.1268,810.1693,49.95113
1706824536280,Eye Tracking,Right,Screen Position,694.2456,810.1693,49.95114
1706824536293,Player,position,,-0.007428286,1.687308,-0.01692858
1706824536293,Player,orientation,,3.163153,357.9882,359.8297
1706824536293,Eye Tracking,Left,Direction,-0.008660667,0.02771592,0.9995783
1706824536293,Eye Tracking,Right,Direction,-0.06144406,0.02769987,0.9977261
1706824536293,Eye Tracking,Center,Direction,-0.03540264,0.02478445,0.9990658
1706824536293,Eye Tracking,Left,Screen Position,695.1052,809.7366,49.9518
1706824536293,Eye Tracking,Right,Screen Position,694.2239,809.7366,49.95181
1706824536307,Player,position,,-0.007365251,1.687327,-0.01690867
1706824536307,Player,orientation,,3.162006,357.9846,359.8322
1706824536307,Eye Tracking,Left,Direction,-0.008598587,0.02769608,0.9995794
1706824536307,Eye Tracking,Right,Direction,-0.06138211,0.02768249,0.9977304
1706824536307,Eye Tracking,Center,Direction,-0.03500243,0.02771025,0.9990031
1706824536307,Eye Tracking,Left,Screen Position,695.39,811.8317,49.94859
1706824536307,Eye Tracking,Right,Screen Position,694.5087,811.8317,49.94859
1706824536321,Player,position,,-0.007301995,1.687275,-0.01690632
1706824536321,Player,orientation,,3.169409,357.9893,359.8169
1706824536321,Eye Tracking,Left,Direction,-0.008688479,0.02782369,0.9995751
1706824536321,Eye Tracking,Right,Direction,-0.06147185,0.02779558,0.9977218
1706824536321,Eye Tracking,Center,Direction,-0.03509227,0.02783065,0.9989965
1706824536321,Eye Tracking,Left,Screen Position,695.3256,811.918,49.94827
1706824536321,Eye Tracking,Right,Screen Position,694.4443,811.918,49.94827
1706824536335,Player,position,,-0.007259782,1.687153,-0.01691267
1706824536335,Player,orientation,,3.196494,357.9953,359.7793
1706824536335,Eye Tracking,Left,Direction,-0.005322317,0.0330242,0.9994404
1706824536335,Eye Tracking,Right,Direction,-0.05811729,0.0329366,0.9977663
1706824536335,Eye Tracking,Center,Direction,-0.03521783,0.02828168,0.9989794
1706824536335,Eye Tracking,Left,Screen Position,695.2353,812.2411,49.94742
1706824536335,Eye Tracking,Right,Screen Position,694.3539,812.2411,49.94742
1706824536349,Player,position,,-0.007235405,1.686998,-0.01692212
1706824536349,Player,orientation,,3.267234,357.9985,359.7189
1706824536349,Eye Tracking,Left,Direction,-0.005420327,0.03425527,0.9993984
1706824536349,Eye Tracking,Right,Direction,-0.05821506,0.03410978,0.9977212
1706824536349,Eye Tracking,Center,Direction,-0.03182871,0.03420581,0.9989078
1706824536349,Eye Tracking,Left,Screen Position,697.6592,816.4828,49.94394
1706824536349,Eye Tracking,Right,Screen Position,696.7779,816.4828,49.94394
1706824536363,Player,position,,-0.007208298,1.686851,-0.01693889
1706824536363,Player,orientation,,3.331573,358.0097,359.679
1706824536363,Eye Tracking,Left,Direction,-0.004487947,0.03944758,0.9992116
1706824536363,Eye Tracking,Right,Direction,-0.05728577,0.03928406,0.9975847
1706824536363,Eye Tracking,Center,Direction,-0.03205376,0.0353068,0.9988623
1706824536363,Eye Tracking,Left,Screen Position,697.4972,817.272,49.94168
1706824536363,Eye Tracking,Right,Screen Position,696.6158,817.272,49.94168
1706824536377,Player,position,,-0.007157064,1.686721,-0.01697069
1706824536377,Player,orientation,,3.387021,358.0235,359.6564
1706824536377,Eye Tracking,Left,Direction,-0.004751498,0.04041385,0.9991717
1706824536377,Eye Tracking,Right,Direction,-0.05754881,0.04022723,0.9975319
1706824536377,Eye Tracking,Center,Direction,-0.03116094,0.04034599,0.9986998
1706824536377,Eye Tracking,Left,Screen Position,698.1326,820.8836,49.93362
1706824536377,Eye Tracking,Right,Screen Position,697.2512,820.8837,49.93363
1706824536403,Player,position,,-0.007041276,1.686512,-0.01702382
1706824536403,Player,orientation,,3.491453,358.0542,359.6302
1706824536403,Eye Tracking,Left,Direction,0.002510617,0.0365453,0.9993289
1706824536403,Eye Tracking,Right,Direction,-0.05030787,0.03642055,0.9980695
1706824536403,Eye Tracking,Center,Direction,-0.0317284,0.0421516,0.9986073
1706824536403,Eye Tracking,Left,Screen Position,697.7244,822.1791,49.92906
1706824536403,Eye Tracking,Right,Screen Position,696.8428,822.1791,49.92906
1706824536418,Player,position,,-0.00697513,1.686468,-0.01703536
1706824536418,Player,orientation,,3.509056,358.0742,359.6261
1706824536418,Eye Tracking,Left,Direction,0.002155092,0.03685113,0.9993185
1706824536418,Eye Tracking,Right,Direction,-0.05066292,0.03672116,0.9980405
1706824536418,Eye Tracking,Center,Direction,-0.02426228,0.03681057,0.9990277
1706824536418,Eye Tracking,Left,Screen Position,703.077,818.344,49.95035
1706824536418,Eye Tracking,Right,Screen Position,702.1957,818.344,49.95036
1706824536432,Player,position,,-0.006903118,1.686471,-0.01702871
1706824536432,Player,orientation,,3.510856,358.1072,359.6225
1706824536432,Eye Tracking,Left,Direction,0.003822648,0.03772747,0.9992807
1706824536432,Eye Tracking,Right,Direction,-0.04899954,0.03764572,0.9980891
1706824536432,Eye Tracking,Center,Direction,-0.02484104,0.03683572,0.9990125
1706824536432,Eye Tracking,Left,Screen Position,702.6625,818.3624,49.94959
1706824536432,Eye Tracking,Right,Screen Position,701.7813,818.3624,49.94959
1706824536445,Player,position,,-0.006819379,1.686538,-0.01699635
1706824536445,Player,orientation,,3.480289,358.1378,359.62
1706824536445,Eye Tracking,Left,Direction,0.003287706,0.03718973,0.9993028
1706824536445,Eye Tracking,Right,Direction,-0.04953385,0.03710464,0.998083
1706824536445,Eye Tracking,Center,Direction,-0.02313102,0.03717181,0.9990411
1706824536445,Eye Tracking,Left,Screen Position,703.8868,818.6022,49.95104
1706824536445,Eye Tracking,Right,Screen Position,703.0056,818.6022,49.95105
1706824536459,Player,position,,-0.00673316,1.686635,-0.0169475
1706824536459,Player,orientation,,3.450157,358.1693,359.6282
1706824536459,Eye Tracking,Left,Direction,0.002745517,0.03665832,0.9993241
1706824536459,Eye Tracking,Right,Direction,-0.05007542,0.03657963,0.9980754
1706824536459,Eye Tracking,Center,Direction,-0.02367309,0.03664342,0.999048
1706824536459,Eye Tracking,Left,Screen Position,703.499,818.2239,49.95134
1706824536459,Eye Tracking,Right,Screen Position,702.6177,818.2239,49.95135
1706824536473,Player,position,,-0.006641374,1.686768,-0.01687171
1706824536473,Player,orientation,,3.410378,358.1872,359.6417
1706824536473,Eye Tracking,Left,Direction,0.003318457,0.03489698,0.9993854
1706824536473,Eye Tracking,Right,Direction,-0.04950329,0.03485985,0.9981654
1706824536473,Eye Tracking,Center,Direction,-0.0239739,0.03595028,0.999066
1706824536473,Eye Tracking,Left,Screen Position,703.284,817.7274,49.95218
1706824536473,Eye Tracking,Right,Screen Position,702.4028,817.7274,49.95218
1706824536487,Player,position,,-0.006547361,1.686868,-0.01681457
1706824536487,Player,orientation,,3.39446,358.2012,359.6547
1706824536487,Eye Tracking,Left,Direction,0.003081569,0.03461511,0.999396
1706824536487,Eye Tracking,Right,Direction,-0.04973993,0.03458957,0.9981631
1706824536487,Eye Tracking,Center,Direction,-0.02333719,0.03462608,0.9991278
1706824536487,Eye Tracking,Left,Screen Position,703.7407,816.7781,49.95521
1706824536487,Eye Tracking,Right,Screen Position,702.8595,816.7781,49.95521
1706824536501,Player,position,,-0.00646103,1.686902,-0.01677645
1706824536501,Player,orientation,,3.391378,358.2215,359.6534
1706824536501,Eye Tracking,Left,Direction,0.003791995,0.03499495,0.9993804
1706824536501,Eye Tracking,Right,Direction,-0.04903036,0.0349705,0.9981849
1706824536501,Eye Tracking,Center,Direction,-0.02369327,0.03456845,0.9991214
1706824536501,Eye Tracking,Left,Screen Position,703.4857,816.7371,49.95486
1706824536501,Eye Tracking,Right,Screen Position,702.6046,816.7371,49.95486
1706824536516,Player,position,,-0.006388746,1.686842,-0.01677018
1706824536516,Player,orientation,,3.419292,358.2285,359.6362
1706824536516,Eye Tracking,Left,Direction,0.003654229,0.0354834,0.9993636
1706824536516,Eye Tracking,Right,Direction,-0.04916797,0.03544214,0.9981615
1706824536516,Eye Tracking,Center,Direction,-0.02276468,0.03548681,0.9991109
1706824536516,Eye Tracking,Left,Screen Position,704.1501,817.3946,49.95438
1706824536516,Eye Tracking,Right,Screen Position,703.2689,817.3946,49.95437
1706824536530,Player,position,,-0.006329356,1.686738,-0.01679249
1706824536530,Player,orientation,,3.456282,358.244,359.6161
1706824536530,Eye Tracking,Left,Direction,-0.0005482655,0.03989255,0.9992039
1706824536530,Eye Tracking,Right,Direction,-0.05335882,0.03980995,0.9977815
1706824536530,Eye Tracking,Center,Direction,-0.02305344,0.03612371,0.9990814
1706824536530,Eye Tracking,Left,Screen Position,703.943,817.8511,49.95292
1706824536530,Eye Tracking,Right,Screen Position,703.0618,817.8511,49.95292
1706824536543,Player,position,,-0.006289017,1.686615,-0.01684816
1706824536543,Player,orientation,,3.507244,358.257,359.58
1706824536543,Eye Tracking,Left,Direction,-0.0008061813,0.04078171,0.9991678
1706824536543,Eye Tracking,Right,Direction,-0.05361628,0.04066387,0.9977333
1706824536543,Eye Tracking,Center,Direction,-0.02722061,0.04074855,0.9987985
1706824536543,Eye Tracking,Left,Screen Position,700.9554,821.1689,49.93875
1706824536543,Eye Tracking,Right,Screen Position,700.074,821.1689,49.93875
1706824536557,Player,position,,-0.006262374,1.686507,-0.01691763
1706824536557,Player,orientation,,3.543443,358.2552,359.5527
1706824536557,Eye Tracking,Left,Direction,-0.0008001435,0.041415,0.9991417
1706824536557,Eye Tracking,Right,Direction,-0.05361015,0.04127123,0.9977087
1706824536557,Eye Tracking,Center,Direction,-0.02721453,0.04136908,0.9987732
1706824536557,Eye Tracking,Left,Screen Position,700.9594,821.6139,49.93755
1706824536557,Eye Tracking,Right,Screen Position,700.0778,821.6139,49.93755
1706824536571,Player,position,,-0.006251563,1.686431,-0.01698036
1706824536571,Player,orientation,,3.561577,358.2605,359.5285
1706824536571,Eye Tracking,Left,Direction,-0.0002996938,0.04530048,0.9989734
1706824536571,Eye Tracking,Right,Direction,-0.05311034,0.04515379,0.9975672
1706824536571,Eye Tracking,Center,Direction,-0.02732755,0.04167428,0.9987574
1706824536571,Eye Tracking,Left,Screen Position,700.8781,821.8329,49.93682
1706824536571,Eye Tracking,Right,Screen Position,699.9966,821.8329,49.93682
1706824536585,Player,position,,-0.00625305,1.686386,-0.01703821
1706824536585,Player,orientation,,3.562396,358.2585,359.5239
1706824536585,Eye Tracking,Left,Direction,-0.00026868,0.04531591,0.9989727
1706824536585,Eye Tracking,Right,Direction,-0.0530793,0.0451651,0.9975684
1706824536585,Eye Tracking,Center,Direction,-0.02668318,0.04526784,0.9986185
1706824536585,Eye Tracking,Left,Screen Position,701.3367,824.4099,49.92992
1706824536585,Eye Tracking,Right,Screen Position,700.4551,824.4099,49.92992
1706824536599,Player,position,,-0.006258688,1.686385,-0.01709775
1706824536599,Player,orientation,,3.54933,358.2524,359.5194
1706824536599,Eye Tracking,Left,Direction,-0.002465422,0.0439146,0.9990322
1706824536599,Eye Tracking,Right,Direction,-0.05526904,0.04380379,0.9975102
1706824536599,Eye Tracking,Center,Direction,-0.02657786,0.04503914,0.9986317
1706824536599,Eye Tracking,Left,Screen Position,701.4124,824.2457,49.93063
1706824536599,Eye Tracking,Right,Screen Position,700.5308,824.2457,49.93063
