unix_ms,event_type,title,description,x,y,z
1706425316344,Simulation,Simulation Start,,0,0,0
1706425316370,Anchor,Left,Center,720,792,10
1706425316370,Anchor,Left,Top Left,434.0125,934.9938,10
1706425316370,Anchor,Left,Top Right,1005.987,934.9938,10
1706425316370,Anchor,Left,Bottom Left,434.0125,649.0062,10
1706425316370,Anchor,Right,Center,720,792,10
1706425316370,Anchor,Right,Top Left,434.0125,934.9938,10
1706425316370,Anchor,Right,Top Right,1005.987,934.9938,10
1706425316370,Anchor,Right,Bottom Left,434.0125,649.0062,10
1706425319587,Simulation,Trial 1 Start,,0,0,0
1706425319587,Player,position,,-0.002097476,1.685684,0.005385709
1706425319587,Player,orientation,,359.5739,0.774923,0.7276037
1706425319587,Eye Tracking,Left,Direction,-0.09385882,-0.03460429,0.994984
1706425319587,Eye Tracking,Right,Direction,-0.1459292,-0.0348669,0.9886804
1706425319587,Eye Tracking,Center,Direction,-0.1199356,-0.03473915,0.9921737
1706425319587,Eye Tracking,Left,Screen Position,634.053,766.9667,49.60446
1706425319587,Eye Tracking,Right,Screen Position,633.0938,766.9667,49.60447
1706425319601,Player,position,,-0.002096459,1.686016,0.005102833
1706425319601,Player,orientation,,359.323,0.719162,0.6124914
1706425319601,Eye Tracking,Left,Direction,-0.09392837,-0.04211399,0.9946879
1706425319601,Eye Tracking,Right,Direction,-0.1459976,-0.04222293,0.9883835
1706425319601,Eye Tracking,Center,Direction,-0.1189456,-0.03934205,0.992121
1706425319601,Eye Tracking,Left,Screen Position,634.7618,763.6483,49.60212
1706425319601,Eye Tracking,Right,Screen Position,633.8026,763.6483,49.60212
1706425319615,Player,position,,-0.002125962,1.686357,0.004811645
1706425319615,Player,orientation,,359.1128,0.6289668,0.5432528
1706425319615,Eye Tracking,Left,Direction,-0.09234444,-0.04590019,0.9946686
1706425319615,Eye Tracking,Right,Direction,-0.1444228,-0.0460501,0.988444
1706425319615,Eye Tracking,Center,Direction,-0.1184246,-0.04598244,0.9918978
1706425319615,Eye Tracking,Left,Screen Position,635.1182,758.8554,49.59087
1706425319615,Eye Tracking,Right,Screen Position,634.1588,758.8554,49.59087
1706425319629,Player,position,,-0.002230495,1.686698,0.004520394
1706425319629,Player,orientation,,358.91,0.5127845,0.498579
1706425319629,Eye Tracking,Left,Direction,-0.08949625,-0.03869806,0.9952351
1706425319629,Eye Tracking,Right,Direction,-0.1416095,-0.03870351,0.9891658
1706425319629,Eye Tracking,Center,Direction,-0.1164039,-0.04961434,0.9919619
1706425319629,Eye Tracking,Left,Screen Position,636.5801,756.2399,49.59436
1706425319629,Eye Tracking,Right,Screen Position,635.6207,756.2399,49.59437
1706425319643,Player,position,,-0.002339565,1.687031,0.004241588
1706425319643,Player,orientation,,358.7102,0.3778005,0.4469969
1706425319643,Eye Tracking,Left,Direction,-0.0871397,-0.04227723,0.9952986
1706425319643,Eye Tracking,Right,Direction,-0.1392666,-0.04231109,0.9893506
1706425319643,Eye Tracking,Center,Direction,-0.1132423,-0.04230004,0.9926666
1706425319643,Eye Tracking,Left,Screen Position,638.9165,761.5333,49.62944
1706425319643,Eye Tracking,Right,Screen Position,637.9578,761.5334,49.62944
1706425319657,Player,position,,-0.002502797,1.687331,0.003978762
1706425319657,Player,orientation,,358.5164,0.2494379,0.3838575
1706425319657,Eye Tracking,Left,Direction,-0.08488042,-0.04576567,0.9953396
1706425319657,Eye Tracking,Right,Direction,-0.1370201,-0.0458398,0.9895071
1706425319657,Eye Tracking,Center,Direction,-0.1109886,-0.04580982,0.9927653
1706425319657,Eye Tracking,Left,Screen Position,640.5477,759.0087,49.63463
1706425319657,Eye Tracking,Right,Screen Position,639.589,759.0087,49.63463
1706425319671,Player,position,,-0.002659682,1.687596,0.003721858
1706425319671,Player,orientation,,358.3314,0.1195,0.3551715
1706425319671,Eye Tracking,Left,Direction,-0.08391275,-0.04042777,0.9956527
1706425319671,Eye Tracking,Right,Direction,-0.1360722,-0.0403851,0.9898754
1706425319671,Eye Tracking,Center,Direction,-0.1087283,-0.04909704,0.9928582
1706425319671,Eye Tracking,Left,Screen Position,642.1827,756.6447,49.63953
1706425319671,Eye Tracking,Right,Screen Position,641.2242,756.6447,49.63953
1706425319685,Player,position,,-0.002825352,1.687837,0.003466007
1706425319685,Player,orientation,,358.1778,359.9777,0.3499593
1706425319685,Eye Tracking,Left,Direction,-0.08145548,-0.04313085,0.9957432
1706425319685,Eye Tracking,Right,Direction,-0.1336287,-0.04308147,0.9900946
1706425319685,Eye Tracking,Center,Direction,-0.1075793,-0.04311221,0.9932613
1706425319685,Eye Tracking,Left,Screen Position,643.0414,760.967,49.6594
1706425319685,Eye Tracking,Right,Screen Position,642.0833,760.967,49.6594
1706425319699,Player,position,,-0.002985926,1.688019,0.003247842
1706425319699,Player,orientation,,358.0471,359.8279,0.356874
1706425319699,Eye Tracking,Left,Direction,-0.08278852,-0.03674494,0.9958894
1706425319699,Eye Tracking,Right,Direction,-0.1349602,-0.03660418,0.9901747
1706425319699,Eye Tracking,Center,Direction,-0.1049953,-0.04539453,0.9934361
1706425319699,Eye Tracking,Left,Screen Position,644.9146,759.3299,49.66833
1706425319699,Eye Tracking,Right,Screen Position,643.9567,759.3299,49.66833
1706425319713,Player,position,,-0.003181467,1.688174,0.003044121
1706425319713,Player,orientation,,357.9503,359.6636,0.3720537
1706425319713,Eye Tracking,Left,Direction,-0.07994666,-0.03843428,0.9960579
1706425319713,Eye Tracking,Right,Direction,-0.1321343,-0.0382753,0.9904926
1706425319713,Eye Tracking,Center,Direction,-0.1060771,-0.03835913,0.9936178
1706425319713,Eye Tracking,Left,Screen Position,644.15,764.3983,49.67704
1706425319713,Eye Tracking,Right,Screen Position,643.1921,764.3983,49.67704
1706425319727,Player,position,,-0.003404183,1.688251,0.002853798
1706425319727,Player,orientation,,357.8958,359.5198,0.3790036
1706425319727,Eye Tracking,Left,Direction,-0.07593086,-0.03288373,0.9965706
1706425319727,Eye Tracking,Right,Direction,-0.1281833,-0.03270951,0.9912109
1706425319727,Eye Tracking,Center,Direction,-0.1035873,-0.03931964,0.9938428
1706425319727,Eye Tracking,Left,Screen Position,645.9583,763.7135,49.68845
1706425319727,Eye Tracking,Right,Screen Position,645.0007,763.7135,49.68846
1706425319741,Player,position,,-0.003581922,1.688244,0.002683639
1706425319741,Player,orientation,,357.8753,359.3717,0.3759816
1706425319741,Eye Tracking,Left,Direction,-0.07335039,-0.0332679,0.9967512
1706425319741,Eye Tracking,Right,Direction,-0.1256163,-0.03309945,0.9915265
1706425319741,Eye Tracking,Center,Direction,-0.09951776,-0.03318607,0.9944822
1706425319741,Eye Tracking,Left,Screen Position,648.9316,768.1414,49.72024
1706425319741,Eye Tracking,Right,Screen Position,647.9746,768.1414,49.72024
1706425319755,Player,position,,-0.003770745,1.688359,0.002491512
1706425319755,Player,orientation,,357.9025,359.2511,0.3841232
1706425319755,Eye Tracking,Left,Direction,-0.07124861,-0.0328062,0.9969189
1706425319755,Eye Tracking,Right,Direction,-0.1235253,-0.03263675,0.9918045
1706425319755,Eye Tracking,Center,Direction,-0.09742063,-0.03272371,0.9947052
1706425319755,Eye Tracking,Left,Screen Position,650.4549,768.479,49.73156
1706425319755,Eye Tracking,Right,Screen Position,649.4982,768.479,49.73156
1706425319769,Player,position,,-0.003938979,1.688273,0.002372398
1706425319769,Player,orientation,,357.9577,359.1599,0.3904523
1706425319769,Eye Tracking,Left,Direction,-0.07184835,-0.02763366,0.9970326
1706425319769,Eye Tracking,Right,Direction,-0.1241443,-0.02748099,0.9918836
1706425319769,Eye Tracking,Center,Direction,-0.0958306,-0.0317697,0.9948905
1706425319769,Eye Tracking,Left,Screen Position,651.6105,769.169,49.74092
1706425319769,Eye Tracking,Right,Screen Position,650.6539,769.169,49.74092
1706425319783,Player,position,,-0.004068298,1.688151,0.002288739
1706425319783,Player,orientation,,358.0374,359.0913,0.4053368
1706425319783,Eye Tracking,Left,Direction,-0.07064825,-0.02623739,0.9971561
